STATE/UT,YEAR,No. of Convict Women Prisoners with Children,No. of Children of Convict Women Prisoners,No. of Under trial Women Prisoners with Children,No. of children of Under trial Women Prisoners,No. of Detenues Women Prisoners with Children,No. of children of Detenues Women Prisoners,No. of Other Women Prisoners with Children,No. of children of  Other Women Prisoners,Total No. of Women Prisoners with Children,Total No. of children of  Women Prisoners
ANDHRA PRADESH,2013,11,11,46,48,0,0,0,0,57,59
ARUNACHAL PRADESH,2013,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,14,17,21,26,0,0,6,7,41,50
BIHAR,2013,7,7,127,187,0,0,0,0,134,194
CHHATISGARH,2013,32,35,62,70,0,0,0,0,94,105
GOA,2013,0,0,0,0,0,0,0,0,0,0
GUJARAT,2013,5,5,37,40,1,1,0,0,43,46
HARYANA,2013,24,28,40,48,0,0,0,0,64,76
HIMACHAL PRADESH,2013,2,2,2,2,0,0,0,0,4,4
JAMMU & KASHMIR,2013,0,0,4,4,1,1,0,0,5,5
JHARKHAND,2013,15,19,106,124,0,0,0,0,121,143
KARNATAKA,2013,21,21,12,12,0,0,0,0,33,33
KERALA,2013,1,1,4,6,0,0,0,0,5,7
MADHYA PRADESH,2013,41,55,61,70,0,0,0,0,102,125
MAHARASHTRA,2013,14,16,98,117,0,0,0,0,112,133
MANIPUR,2013,0,0,1,1,0,0,0,0,1,1
MEGHALAYA,2013,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,0,0,1,1,0,0,0,0,1,1
NAGALAND,2013,0,0,0,0,0,0,0,0,0,0
ORISSA,2013,3,4,33,76,0,0,0,0,36,80
PUNJAB,2013,21,21,52,53,0,0,1,1,74,75
RAJASTHAN,2013,6,6,38,44,0,0,0,0,44,50
SIKKIM,2013,0,0,0,0,0,0,0,0,0,0
TAMILNADU,2013,3,3,17,17,0,0,0,0,20,20
TRIPURA,2013,0,0,1,1,0,0,0,0,1,1
UTTAR PRADESH,2013,64,77,309,352,0,0,0,0,373,429
UTTARANCHAL,2013,2,2,5,5,0,0,0,0,7,7
WEST BENGAL,2013,51,72,129,166,0,0,0,0,180,238
A & N ISLANDS,2013,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,2,2,0,0,0,0,0,0,2,0
D & N HAVELI,2013,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,0,0,0,0,0,0,0,0,0,0
DELHI,2013,3,3,45,47,0,0,0,0,48,50
LAKSHADWEEP,2013,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2013,0,0,1,1,0,0,0,0,1,1
Total (States),2013,337,402,1206,1470,2,2,7,8,1552,1882
Total (Uts),2013,5,5,46,48,0,0,0,0,51,51
Total (All),2013,342,407,1252,1518,2,2,7,8,1603,1933
